,mean_fit_time,mean_score_time,mean_test_score,model,param_clf__C,param_clf__activation,param_clf__alpha,param_clf__hidden_layer_sizes,param_clf__learning_rate,param_clf__learning_rate_init,param_clf__loss,param_clf__max_depth,param_clf__min_samples_leaf,param_clf__min_samples_split,param_clf__n_estimators,param_clf__penalty,param_clf__solver,params,rank_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,std_fit_time,std_score_time,std_test_score
0,0.5606011390686035,0.012200307846069337,0.7235230158233281,LR,0.5,,,,,,,,,,,l1,liblinear,"{'clf__C': 0.5, 'clf__penalty': 'l1', 'clf__solver': 'liblinear'}",2,0.7175493552064914,0.7252765784475061,0.721819330923033,0.7265452594327505,0.7264256589776392,0.11392167765540671,0.00591077176003876,0.0034416676418347718
1,2.004402828216553,0.007798910140991211,0.7235257108722911,LR,0.5,,,,,,,,,,,l1,saga,"{'clf__C': 0.5, 'clf__penalty': 'l1', 'clf__solver': 'saga'}",1,0.7175561253742057,0.7252787667845452,0.7218185098672769,0.7265504594525378,0.7264257958202651,0.15359995028103987,0.00039506247766296014,0.0034405586925648907
2,0.19599766731262208,0.006201267242431641,0.7235083898538595,LR,0.5,,,,,,,,,,,l2,liblinear,"{'clf__C': 0.5, 'clf__penalty': 'l2', 'clf__solver': 'liblinear'}",8,0.7175736320705169,0.7252336323331173,0.7218061940309384,0.7265403330982149,0.726389258839127,0.005932561056461214,0.00039816042620019026,0.003423192349650385
3,0.34260287284851076,0.006398200988769531,0.7235083898574377,LR,0.5,,,,,,,,,,,l2,saga,"{'clf__C': 0.5, 'clf__penalty': 'l2', 'clf__solver': 'saga'}",7,0.7175734269139196,0.7252337691041821,0.7218061256096253,0.7265402646769019,0.7263894641030659,0.02360224191855467,0.0013559584022500403,0.003423306516342184
4,0.5887988567352295,0.00680088996887207,0.7235136027440967,LR,1.0,,,,,,,,,,,l1,liblinear,"{'clf__C': 1.0, 'clf__penalty': 'l1', 'clf__solver': 'liblinear'}",3,0.7175624168431927,0.7252499764753769,0.7218066045588163,0.7265457383819414,0.7264043799492985,0.5550054956758378,0.0011667524476918964,0.0034321940388545146
5,2.0820001125335694,0.006999349594116211,0.7235128503064723,LR,1.0,,,,,,,,,,,l1,saga,"{'clf__C': 1.0, 'clf__penalty': 'l1', 'clf__solver': 'saga'}",4,0.7175674773725949,0.7252426592234029,0.7218080414063891,0.7265460120671934,0.7264011641475878,0.08735891197118634,0.0012639280479805092,0.003429063311307365
6,0.17579917907714843,0.006400680541992188,0.7235068577131373,LR,1.0,,,,,,,,,,,l2,liblinear,"{'clf__C': 1.0, 'clf__penalty': 'l2', 'clf__solver': 'liblinear'}",11,0.7175776668169326,0.7252231693466502,0.7218046203407394,0.7265407436260929,0.7263891904178141,0.008840988206207653,0.0004890268703241607,0.0034209586902464706
7,0.3177900791168213,0.0074043750762939455,0.7235067482397549,LR,1.0,,,,,,,,,,,l2,saga,"{'clf__C': 1.0, 'clf__penalty': 'l2', 'clf__solver': 'saga'}",12,0.7175770513471402,0.7252239899730397,0.7218045519194265,0.7265401278342759,0.7263891219965011,0.01269730234255416,0.0017445857895284206,0.003421140528639139
8,0.4386007308959961,0.007000064849853516,0.7235106749403031,LR,1.5,,,,,,,,,,,l1,liblinear,"{'clf__C': 1.5, 'clf__penalty': 'l1', 'clf__solver': 'liblinear'}",5,0.7175662464330107,0.7252399921876369,0.7218064677161903,0.7265429331081087,0.726398837822946,0.15818654592261594,0.0006327905699168141,0.003428441080768728
9,2.0039941310882567,0.007805585861206055,0.723510004517367,LR,1.5,,,,,,,,,,,l1,saga,"{'clf__C': 1.5, 'clf__penalty': 'l1', 'clf__solver': 'saga'}",6,0.717570554721556,0.7252350000437667,0.7218083150916411,0.7265432067933606,0.7263940483310365,0.13219605706335558,0.0019382777678135228,0.00342550178439536
10,0.20759859085083007,0.006400251388549804,0.7235052981208772,LR,1.5,,,,,,,,,,,l2,liblinear,"{'clf__C': 1.5, 'clf__penalty': 'l2', 'clf__solver': 'liblinear'}",13,0.7175797183829065,0.7252163307934035,0.7218050308686175,0.7265402646769019,0.7263862483013553,0.006944749344871574,0.0010199314367134325,0.0034189404167459794
11,0.33199563026428225,0.006400299072265625,0.7235051202226058,LR,1.5,,,,,,,,,,,l2,saga,"{'clf__C': 1.5, 'clf__penalty': 'l2', 'clf__solver': 'saga'}",14,0.7175793080697117,0.7252171514197931,0.7218050992899304,0.7265391699358941,0.7263859746161034,0.04015587216148738,0.0013573389145380432,0.0034189176129160326
12,0.31279802322387695,0.007598781585693359,0.7235073639170545,LR,2.5,,,,,,,,,,,l1,liblinear,"{'clf__C': 2.5, 'clf__penalty': 'l1', 'clf__solver': 'liblinear'}",10,0.7175689134687768,0.7252330852488578,0.7218059203456864,0.726539238357207,0.726390764108013,0.07538618244766825,0.0014970487657858913,0.003424860419419743
13,1.863397216796875,0.007210350036621094,0.7235077198173636,LR,2.5,,,,,,,,,,,l1,saga,"{'clf__C': 2.5, 'clf__penalty': 'l1', 'clf__solver': 'saga'}",9,0.7175744526969066,0.7252247422138968,0.7218075624571982,0.7265408120474058,0.7263921325342727,0.11058612024259443,0.0017083401881499737,0.003422446397230794
14,0.18279452323913575,0.0072021007537841795,0.7235045867997307,LR,2.5,,,,,,,,,,,l2,liblinear,"{'clf__C': 2.5, 'clf__penalty': 'l2', 'clf__solver': 'liblinear'}",16,0.7175800603105688,0.7252124328180529,0.7218054413964954,0.7265408120474057,0.7263852904029735,0.005708378752570129,0.0009811853930275572,0.0034183269442716606
